p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
2535,1759,497,1328,1602,1321,315,368,639,521,357,825,1
2542,1773,369,681,1612,1324,312,366,650,531,340,809,1
2512,1745,475,1008,1616,1323,316,371,659,532,353,837,1
2528,1706,510,714,1616,1332,318,370,672,529,366,826,1
2513,1776,279,905,1619,1326,337,374,676,540,360,847,1
2483,1843,523,720,1608,1334,338,370,659,531,349,843,1
2507,1860,593,999,1557,1304,336,351,417,351,206,789,1
2506,1867,553,934,1581,1293,337,354,501,377,230,789,1
2507,1812,575,1011,1575,1304,341,351,534,402,245,800,1
2526,1875,639,1180,1584,1302,335,353,551,410,230,806,1
2513,1847,741,1321,1585,1306,337,354,565,412,248,806,1
2510,1855,663,1328,1588,1308,334,355,578,418,237,806,1
2507,1857,661,1333,1587,1309,337,355,598,420,264,809,1
2505,1861,647,1321,1589,1310,337,355,597,421,273,808,1
2491,1863,685,1303,1590,1312,338,355,611,424,276,814,1
2491,1871,697,1309,1593,1315,335,356,611,428,287,810,1
2480,1858,756,1403,1596,1317,335,356,619,431,289,815,1
2509,1882,713,1505,1603,1313,338,354,629,432,287,813,1
2512,1900,749,1493,1608,1319,340,356,626,433,295,815,1
2506,1881,708,1488,1610,1320,340,357,630,430,297,814,1
2521,1877,652,1407,1612,1324,341,357,634,433,295,812,1
2468,1808,815,1408,1613,1314,340,358,630,439,268,809,1
2496,1837,863,1488,1611,1316,337,359,636,440,276,812,1
2461,1866,787,1531,1612,1319,336,358,637,445,281,812,1
2448,1820,778,1488,1607,1321,335,358,637,450,290,819,1
2415,1781,801,1514,1605,1321,335,360,639,449,291,816,1
2434,1782,815,1524,1610,1323,336,359,637,450,283,817,1
2446,1790,794,1526,1610,1327,336,361,641,452,283,817,1
2451,1815,827,1563,1610,1332,337,361,644,453,289,821,1
2459,1841,846,1577,1613,1333,337,361,646,456,292,823,1
2466,1853,758,1552,1614,1333,335,362,649,461,297,826,1
2458,1830,821,1563,1612,1330,335,362,650,458,295,826,1
2448,1797,797,1557,1615,1330,336,363,647,459,294,827,1
2462,1829,786,1550,1616,1329,335,360,653,461,292,827,1
2480,1858,747,1582,1617,1330,336,360,651,462,298,829,1
2483,1872,765,1549,1624,1335,336,360,655,458,295,831,1
2466,1851,758,1552,1621,1336,337,362,659,472,291,826,1
2475,1838,781,1579,1623,1334,338,362,658,474,287,829,1
2477,1833,762,1587,1622,1336,336,362,657,476,286,830,1
2483,1843,769,1589,1624,1333,338,363,664,475,279,832,1
2503,1873,759,1609,1624,1337,340,364,663,476,291,834,1
2483,1858,727,1583,1621,1333,337,363,660,478,291,833,1
2475,1853,731,1567,1624,1333,340,364,664,482,292,831,1
2487,1844,736,1595,1631,1335,339,365,662,480,295,835,1
2494,1835,681,1597,1635,1336,342,362,664,479,293,834,1
2485,1835,707,1622,1636,1336,341,364,660,485,298,832,1
2502,1867,724,1616,1636,1339,341,367,668,485,299,834,1
2502,1881,748,1639,1638,1340,341,366,667,486,301,840,1
2505,1877,782,1637,1638,1338,341,366,667,490,296,840,1
2469,1840,785,1600,1636,1340,343,368,669,488,298,840,1
2460,1824,831,1621,1634,1333,341,367,664,488,299,842,1
2469,1840,850,1625,1637,1333,341,368,660,492,300,841,1
2493,1872,861,1616,1641,1338,341,367,665,489,303,840,1
2495,1882,819,1647,1641,1338,341,367,665,490,300,841,1
2501,1891,817,1604,1641,1336,339,367,654,491,190,843,1
1616,1655,847,1013,1344,1262,186,359,454,442,220,642,1
2064,1452,383,1295,1089,826,71,204,523,321,158,473,1
1823,1776,1182,384,1127,806,114,151,685,292,51,581,1
1936,1911,0,0,1223,929,144,227,669,365,112,579,1
0,386,0,0,1414,1086,272,319,708,361,224,531,1
0,0,0,0,1173,1728,219,430,700,498,176,914,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,574,655,1220,1165,2
0,0,0,0,1535,1263,349,263,697,377,257,482,2
0,0,0,0,1353,1302,419,399,820,582,536,341,2
0,0,0,0,1498,1361,399,391,763,571,509,320,2
0,0,0,0,1490,1512,394,424,715,671,588,378,2
0,0,0,0,1473,1491,408,410,682,641,591,326,2
0,0,0,0,1514,1429,404,418,542,538,496,367,2
0,0,0,0,1619,1486,437,411,694,435,529,497,2
0,0,0,0,1617,1593,466,428,805,517,563,517,2
0,0,0,0,1603,1640,475,441,858,571,617,549,2
0,0,0,0,1581,1652,473,441,886,588,582,557,2
0,0,0,0,1582,1666,467,443,901,598,646,579,2
0,0,0,0,1581,1677,469,445,928,611,673,552,2
0,0,0,0,1596,1685,469,445,936,640,690,510,2
0,0,0,0,1600,1706,471,445,948,648,700,558,2
0,0,0,0,1584,1709,468,447,945,667,698,584,2
0,0,0,0,1506,1490,440,464,887,672,635,523,2
0,0,0,0,1545,1459,459,444,896,668,588,585,2
0,0,0,0,1514,1579,454,446,924,654,636,616,2
0,0,0,0,1509,1623,418,460,902,671,587,660,2
0,0,0,0,1512,1658,431,464,951,689,670,546,2
0,0,0,0,1533,1685,429,466,988,696,715,593,2
0,0,0,0,1539,1705,449,466,987,702,731,614,2
0,0,0,0,1536,1710,404,467,997,706,750,642,2
0,0,0,0,1535,1715,404,467,1001,708,749,652,2
0,0,0,0,1545,1713,403,467,971,690,700,644,2
0,0,0,0,1537,1708,405,465,996,710,732,687,2
0,0,0,0,1519,1721,402,465,1004,714,747,705,2
0,0,0,0,1479,1726,434,464,1011,713,752,708,2
0,0,0,0,1474,1732,439,464,1014,714,758,717,2
0,0,0,0,1492,1738,440,464,1016,715,760,720,2
0,0,0,0,1536,1740,444,467,1022,718,764,728,2
0,0,0,0,1518,1749,446,467,1025,719,763,730,2
0,0,0,0,1531,1755,406,468,1018,714,753,728,2
0,0,0,0,1525,1751,410,469,1025,718,757,735,2
0,0,0,0,1529,1759,393,471,1033,721,761,737,2
0,0,0,0,1548,1762,389,469,1032,721,728,743,2
0,0,0,0,1548,1756,399,471,1037,722,752,746,2
0,0,0,0,1550,1761,411,470,1036,722,759,745,2
0,0,0,0,1530,1760,413,471,1036,724,777,746,2
0,0,0,0,1530,1763,411,471,1042,721,779,750,2
0,0,0,0,1538,1765,415,473,1045,723,781,748,2
0,0,0,0,1538,1766,420,474,1052,724,784,749,2
0,0,0,0,1536,1768,425,474,1047,722,787,756,2
0,0,0,0,1548,1764,426,474,1056,722,788,757,2
0,0,0,0,1538,1771,426,471,1057,723,790,757,2
0,0,0,0,1532,1763,426,474,1058,725,797,756,2
0,0,0,0,1536,1769,427,475,1068,729,796,760,2
0,0,0,0,1557,1773,427,473,1067,727,801,769,2
0,0,0,0,1558,1774,426,472,1069,728,797,766,2
0,0,0,0,1535,1763,426,475,1048,719,630,744,2
0,0,0,0,1559,1754,428,477,1047,714,620,771,2
0,0,0,0,1532,1757,423,477,1048,665,660,604,2
0,0,0,0,1551,1752,423,480,1030,644,502,612,2
0,0,0,0,1579,1739,425,485,1016,616,608,573,2
0,0,0,0,1563,1737,425,482,1029,616,617,495,2
0,0,0,0,1553,1727,424,480,1003,637,568,642,2
0,0,0,0,1537,1743,423,481,1033,639,658,621,2
0,0,0,0,1549,1740,426,483,1032,639,675,616,2
0,0,0,0,1605,1738,424,481,1024,650,691,677,2
0,0,0,0,1609,1743,426,484,1039,651,709,703,2
0,0,0,0,1594,1744,426,481,999,653,555,717,2
0,0,0,0,1599,1757,430,481,1062,654,670,683,2
0,0,0,0,1567,1762,432,484,1063,665,670,664,2
0,0,0,0,1547,1753,430,485,1074,665,710,716,2
0,0,0,0,1557,1758,427,484,1075,667,717,753,2
0,0,0,0,1559,1758,427,482,1076,671,739,754,2
0,0,0,0,1616,1757,427,482,1079,675,754,753,2
0,0,0,0,1641,1767,432,482,1085,672,768,759,2
0,0,0,0,1645,1769,424,482,1100,673,768,758,2
0,0,0,0,1641,1758,423,480,1101,674,778,760,2
0,0,0,0,1646,1766,425,483,1104,676,788,777,2
0,0,0,0,1641,1768,423,485,1101,678,797,782,2
0,0,0,0,1631,1776,477,484,1109,683,800,785,2
0,0,0,0,1643,1777,479,484,1104,679,800,785,2
0,0,0,0,1645,1778,481,485,1107,682,802,785,2
0,0,0,0,1644,1781,480,484,1108,680,805,786,2
0,0,0,0,1634,1781,482,483,1111,684,809,789,2
0,0,0,0,1631,1782,479,484,1112,685,814,797,2
