index,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11
1689873009353,2627,496,0,0,1217,1603,182,349,1045,396,1458,0
1689873009853,2622,495,0,0,1220,1604,183,352,1045,391,1462,0
1689873010353,2603,457,0,0,1218,1605,182,350,1050,390,1470,0
1689873010853,2630,671,0,0,1228,1599,182,351,1048,396,1464,0
1689873011353,2638,777,0,0,1230,1602,182,351,1049,335,1464,0
1689873011853,2621,496,0,0,1219,1604,183,349,1043,410,1465,0
1689873012353,2622,448,0,0,1217,1608,183,349,1046,404,1464,0
1689873012853,2608,432,0,0,1215,1608,183,350,1049,401,1474,0
1689873013353,2640,666,0,0,1233,1610,183,350,1052,388,1463,0
1689873013853,2656,793,0,0,1236,1612,183,350,1054,367,1469,0
1689873014353,2641,494,0,0,1225,1613,183,351,1053,351,1473,0
1689873014853,2618,464,0,0,1218,1609,182,351,1055,377,1481,0
1689873015353,2619,508,0,0,1217,1609,183,352,1052,388,1470,0
1689873015853,2623,578,0,0,1226,1608,182,352,1050,374,1469,0
1689873016353,2650,811,0,0,1225,1611,181,350,1054,379,1471,0
1689873016853,2643,572,0,0,1224,1613,182,350,1054,374,1469,0
1689873017353,2625,543,0,0,1223,1613,183,351,1052,339,1459,0
1689873017853,2618,503,0,0,1221,1615,182,351,1055,382,1461,0
1689873018353,2623,426,0,0,1220,1617,183,351,1061,389,1474,0
1689873018853,2640,734,0,0,1240,1616,182,352,1062,356,1466,0
1689873019353,2640,690,0,0,1232,1616,181,352,1060,369,1468,0
1689873019853,2625,444,0,0,1221,1615,182,350,1061,364,1468,0
1689873020353,2618,484,0,0,1217,1615,180,350,1058,320,1472,0
1689873020853,2622,509,0,0,1219,1619,179,350,1062,344,1475,0
1689873021353,2647,679,0,0,1235,1622,183,354,1061,324,1468,0
1689873021853,2641,830,0,0,1235,1622,182,353,1066,344,1468,0
1689873022354,2639,496,0,0,1228,1625,183,353,1064,334,1472,0
1689873022854,2630,459,0,0,1222,1623,184,353,1066,316,1478,0
1689873023354,2609,509,0,0,1225,1621,184,352,1066,279,1470,0
1689873023854,2625,605,0,0,1228,1620,184,353,1070,298,1469,0
1689873024354,2642,818,0,0,1237,1624,184,353,1067,299,1467,0
1689873024854,2635,390,0,0,1227,1625,183,351,1068,288,1476,0
1689873025354,2624,439,0,0,1229,1625,183,351,1068,283,1466,0
1689873025854,2621,461,0,0,1224,1625,185,352,1070,262,1466,0
1689873026354,2635,522,0,0,1228,1630,184,351,1074,233,1464,0
1689873026854,2643,809,0,0,1241,1633,184,351,1075,246,1477,0
1689873027354,2638,594,0,0,1242,1632,185,352,1073,261,1469,0
1689873027854,2627,417,0,0,1227,1624,185,349,1076,245,1474,0
1689873028354,2624,413,0,0,1229,1622,183,350,1074,238,1473,0
1689873028854,2608,397,0,0,1226,1628,184,350,1072,228,1480,0
1689873029354,2644,725,0,0,1246,1635,184,352,1073,213,1465,0
1689873029854,2655,706,0,0,1237,1636,184,353,1074,219,1468,0
1689873030354,2639,400,0,0,1237,1636,185,354,1078,222,1469,0
1689873030854,2621,407,0,0,1235,1633,184,353,1077,217,1481,0
1689873031354,2623,400,0,0,1234,1633,184,352,1079,217,1484,0
1689873031854,2618,691,0,0,1245,1635,184,352,1079,219,1478,0
1689873032354,2633,794,0,0,1236,1631,184,352,1081,212,1480,0
1689873032854,2627,519,0,0,1230,1630,183,352,1079,215,1480,0
1689873033354,2620,445,0,0,1227,1631,183,352,1080,222,1487,0
1689873033854,2611,473,0,0,1237,1634,183,351,1079,217,1479,0
1689873034354,2624,702,0,0,1255,1639,185,351,1081,219,1472,0
