p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
1019,2435,3107,0,2684,2124,0,249,1252,522,0,726,1
1389,2665,3020,0,2525,2147,0,256,1107,509,0,867,1
1200,2434,2974,0,2541,2118,0,276,1185,628,0,864,1
851,2265,3120,0,2612,2148,0,300,1241,669,0,1050,1
963,2576,3023,0,2696,2195,0,317,1223,551,0,800,1
1397,2571,3088,0,2717,2138,0,2199,1268,417,0,513,1
1527,2592,3131,0,2668,2210,0,703,1248,480,0,651,1
1423,2626,3088,0,2540,2203,0,444,1177,604,0,706,1
1355,2661,3049,0,2600,2180,0,404,1202,646,0,767,1
1088,2655,2903,0,2630,2080,0,417,1298,672,0,894,1
951,2524,3106,0,2699,2134,0,420,1317,637,0,927,1
1293,2571,3157,0,2687,2197,0,429,1306,591,0,763,1
1418,2587,3151,0,2674,2260,0,430,1222,618,0,774,1
1394,2559,3148,0,2710,2261,0,453,1254,656,0,868,1
1474,2570,3104,0,2634,2248,0,495,1297,689,0,871,1
1342,2559,3063,0,2662,2221,0,511,1333,724,0,1029,1
1168,2366,3090,0,2596,2187,0,530,1213,652,0,978,1
1415,2493,3058,0,2568,2143,0,562,1115,681,0,1042,1
1300,2629,2974,0,2752,2293,0,568,1201,599,0,665,1
1167,2455,3126,0,2787,2324,0,589,1175,467,0,537,1
550,2366,3150,0,2857,2382,0,565,1200,434,0,620,1
1415,2277,3106,0,3075,2680,0,550,1120,371,0,707,1
880,2415,3080,0,3155,2567,0,521,1248,502,0,831,1
1489,2436,3136,0,3143,2630,0,498,1278,571,0,912,1
1531,2445,3134,0,2991,2646,0,475,1095,434,0,558,1
1647,2176,3195,849,2907,2748,0,441,1188,224,0,0,1
1822,1823,3059,1401,2700,2789,0,399,1312,240,0,207,1
2010,1585,3030,1978,2056,2900,0,388,1159,399,0,19,1
2237,1295,2638,1707,2308,3037,0,348,922,444,0,0,1
1818,1317,3063,1311,2441,2988,0,299,1068,377,0,0,1
1229,1146,3233,1257,2845,2913,0,255,1164,312,0,0,1
1559,1606,3063,2253,2078,2962,0,224,1017,292,0,0,1
2065,1776,2848,2544,1680,2831,0,409,888,279,0,0,1
1184,103,2675,2895,1841,2905,0,466,1023,370,0,0,1
565,0,3004,2864,1666,2799,0,203,1191,434,0,247,1
219,0,3239,2551,1806,2789,0,136,1213,460,0,346,1
624,300,3213,2745,1973,2812,0,103,1259,434,0,225,1
896,443,3024,2761,1910,2823,0,82,1273,471,0,86,1
1168,944,2576,2963,1913,2870,0,78,1254,363,0,0,1
1264,1092,2150,3014,1922,2896,0,84,1135,362,0,0,1
1571,1291,2025,3017,1984,2909,0,96,1193,330,0,0,1
1594,1393,1695,3034,1921,2871,0,111,1271,310,0,0,1
1776,1407,2125,3015,1820,2828,0,122,1306,212,0,0,1
1394,1280,1897,3069,1710,2894,0,131,1204,207,0,0,1
1392,1219,1950,3030,1757,2907,0,148,991,278,0,0,1
1461,1590,2063,3029,1744,2825,0,155,1209,334,0,0,1
1934,1937,2192,2898,1856,2713,0,159,1338,469,0,0,1
2016,1997,2272,2983,1905,2731,0,161,1304,461,0,0,1
2007,2234,2215,2893,2022,2725,0,166,1326,472,0,0,1
1718,1941,1739,2970,1930,2831,0,239,1216,459,0,0,1
1967,2075,2082,2861,1973,2844,0,471,1272,434,0,0,1
1237,1119,2362,2592,1961,2879,0,273,1309,428,0,0,1
1563,596,2814,1631,1542,2721,0,783,1034,642,0,0,1
